,person,name,description,birthPlaceName,lat,long,birthDate
6,http://dbpedia.org/resource/Charles_Thompson_(jazz),"""Sir"" Charles Thompson","Charles Phillip Thompson (March 21, 1918 – June 16, 2016) was an American swing and bebop pianist, organist, composer, and arranger.","Springfield, Ohio, U.S.A.",39.9269,-83.8042,1918.0
7,http://dbpedia.org/resource/Luísa_Sobral,(ComM),"Luísa Vilar Braamcamp Sobral ComM (Portuguese pronunciation: [luˈizɐ viˈlaɾ bɾɐ̃ˈkɐ̃p suˈβɾaɫ]; born 18 September 1987) is a Portuguese singer and songwriter. She came to prominence in 2003 after finishing third in the first season of Ídolos, the Portuguese version of Idols television series. After going on hiatus to attend the Berklee College of Music, she released her debut album, The Cherry on My Cake, in 2011. She later composed ""Amar pelos dois"", which won the Eurovision Song Contest 2017 for Portugal and was performed by her brother Salvador Sobral.","Lisbon, Portugal",38.7253,-9.15002,1987.0
8,http://dbpedia.org/resource/Salvador_Sobral,(ComM),"Salvador Vilar Braamcamp Sobral ComM (Portuguese pronunciation: [saɫvɐˈðoɾ viˈlaɾ bɾɐ̃ˈkɐ̃p suˈβɾaɫ], born 28 December 1989) is a Portuguese singer, who won the Eurovision Song Contest 2017 for Portugal with the song ""Amar pelos dois,"" written and composed by his sister, Luísa Sobral. In doing so, he gave Portugal its first ever win in the contest since its debut in 1964, ending the longest winless run by a country in Eurovision history (53 years). Sobral and his entry hold the Eurovision record for the highest-scoring winner, having earned a total of 758 points under the current voting system, after winning both the jury vote and televote.","Lisbon, Portugal",38.7253,-9.15002,1989.0
9,http://dbpedia.org/resource/David_Foster,"(OC, OBC)","David Walter Foster, OC, OBC (born November 1, 1949), is a Canadian musician, composer, arranger, record producer, and music executive. He has been a producer for musicians including Christina Aguilera, Air Supply, Mary J. Blige, Andrea Bocelli, Toni Braxton, Michael Bublé, Mariah Carey, Peter Cetera, Chicago, Natalie Cole, Alice Cooper, Celine Dion, Kenny G, Josh Groban, Whitney Houston, Michael Jackson, Chaka Khan, Kenny Loggins, Jennifer Lopez, Cheryl Lynn, Madonna, Olivia Newton-John, Brandy Norwood, John Parr, Kenny Rogers, Seal, Blake Shelton, Rod Stewart, Barbra Streisand, Jackie Evancho, Donna Summer, The Corrs and Jake Zyrus. Foster has won 16 Grammy Awards from 47 nominations. He was the chairman of Verve Records from 2012 to 2016.","Victoria, British Columbia, Canada",48.4283,-123.365,1949.0
10,http://dbpedia.org/resource/Aisel_(singer),AISEL,"Aysel Mammadova (Azerbaijani: Aysel Məmmədova; born 3 July 1989), known professionally as AISEL is an Azerbaijani singer. She represented Azerbaijan in the Eurovision Song Contest 2018 with the song ""X My Heart"".","Baku, Azerbaijan SSR, USSR",40.3667,49.8833,1989.0
12,http://dbpedia.org/resource/Aage_Teigen,Aage Teigen,"Aage Teigen (17 July 1944 – 15 January 2014) was a Norwegian jazz musician (trombone) and economist born and raised in Oslo. He was from a number of orchestras and active on the Oslo jazz scene. He initiated the Oslo Jazzfestival and led the festival between 1986 and 2007. He has played in Per Borthen's Swing Dept. and Christiania Jazzband, as well as Christiania 12. Teigen received the Oslo City Culture Award in 2002 for his efforts for the Oslo Jazzfestival. Han mottok Oslo Jazzfestivals pris Ella prize in 2011. Teigen died 15 January 2014 after a short-term illness.",http://dbpedia.org/resource/Nore_og_Uvdal,60.3072,8.80556,1944.0
16,http://dbpedia.org/resource/Aaron_Rimbui,Aaron Rimbui,"Harun ""Aaron"" Kimathi Rimbui (born 15 October 1979) is a Kenyan pianist, keyboardist, bandleader, producer, festival curator  and radio host . He is regarded as one of East Africa's  finest pianists",http://dbpedia.org/resource/Kenya,-1.26667,36.8,1979.0
26,http://dbpedia.org/resource/Aaron_Weinstein,Aaron Weinstein,"Aaron Jacob Weinstein (born July 31, 1985) is a jazz violinist, mandolinist, and arranger.","Wilmette, Illinois, U.S.",42.0772,-87.7236,1985.0
27,http://dbpedia.org/resource/Abshalom_Ben_Shlomo,Abshalom Ben Shlomo,"Abshalom ben Shlomo (born November 11, 1943) is an Israeli-American jazz saxophonist. Ben Shlomo is best known for working under the iconic jazz keyboardist and bandleader Sun Ra throughout the 1970s.","Chicago, Illinois",41.8219,-87.703,1943.0
31,http://dbpedia.org/resource/David_Grisman,Acoustic Disc,"David Grisman (born March 23, 1945) is an American mandolinist. His music combines bluegrass, folk, and jazz in a genre he calls ""Dawg music"". He founded the record label Acoustic Disc, which issues his recordings and those of other acoustic musicians.","Hackensack, New Jersey, U.S.",40.8894,-74.0457,1945.0
32,http://dbpedia.org/resource/Ada_Leonard,Ada Leonard,"Ada Leonard (July 22, 1915 – November 29, 1997) was an American bandleader. She was the leader of the All-American Girl Orchestra, the first all-female band to tour with the USO during World War II. The big-band leader was a performer with a background in musical performance.","Lawton, Oklahoma, U.S.",34.6042,-98.3956,1915.0
33,http://dbpedia.org/resource/Adam_Bałdych,Adam Bałdych,"Adam Bałdych (born 18 May 1986 in Gorzów Wielkopolski, Poland) is a Polish violinist, composer, music producer. Baldych is ACT MUSIC (Germany) recording artist. He is known from a series of record releases and collaborations with musicians like Marius Neset, Morten Lund & Lars Danielsson.",http://dbpedia.org/resource/Gorzów_Wielkopolski,52.7333,15.25,1986.0
34,http://dbpedia.org/resource/Adam_Taubitz,Adam Taubitz,"Adam Georg Taubitz (born 7 October 1967) is a German jazz and classical musician. He is perhaps best known for his work with the Berlin Philharmonic Jazz Group, which he established in 1999, and with the Aura Quartett.","Chorzów, Upper Silesia, Poland",50.0,18.0,1967.0
36,http://dbpedia.org/resource/Adele_Girard,Adele Girard,"Adele Beatrice Girard Marsala (June 25, 1913 – September 7, 1993) was a jazz harpist associated with dixieland and swing music. She is the first woman to bring the concert harp to prominence in jazz, with only Casper Reardon preceding her. As a musician she is known by her birth name Adele Girard, but she became Adele Girard Marsala after marrying clarinetist Joe Marsala.","Holyoke, Massachusetts, U.S.",42.2042,-72.6167,1913.0
37,http://dbpedia.org/resource/Adelhard_Roidinger,Aderhard Roidinger,"Adelhard Roidinger (28 November 1941 in Windischgarsten) is an Austrian jazz musician (bass, electronic), composer and computer graphic designer.",http://dbpedia.org/resource/Upper_Austria,47.7211,14.3308,1941.0
